spot_id,spot_sector_id,spot_type_id,spot_settlement,spot_municipality,spot_state,spot_region,spot_corridor,spot_latitude,spot_longitude,spot_area_in_sqm,spot_price_sqm_mxn_rent,spot_price_total_mxn_rent,spot_price_sqm_mxn_sale,spot_price_total_mxn_sale,spot_modality,uuiid,spot_created_date
30614,9,2,LOMAS DE VISTA HERMOSA,Cuajimalpa de Morelos,Ciudad de México,Center,,19.3642832,-99.2798564,1684,400,673600,,,Rent,16319,2024-10-01
29336,11,1,LOMAS DE VISTA HERMOSA,Cuajimalpa de Morelos,Ciudad de México,Center,Santa Fe,19.3642832,-99.2798564,1684,400,673600,,,Rent,13934,2024-08-29
20794,11,2,LOMAS DE SANTA FE,Álvaro Obregón,Ciudad de México,Center,Santa Fe,19.3642723,-99.265071,17416,290.740695,5063539.944,,,Rent,8463,2024-01-26
23479,11,2,LOMAS DE SANTA FE,Álvaro Obregón,Ciudad de México,Center,Santa Fe,19.36426302,-99.26561125,11200,290.740695,3256295.784,,,Rent,8463,2024-02-21
29432,13,1,PORTALES ORIENTE,Benito Juárez,Ciudad de México,Center,,19.3640259,-99.1422232,60,258.3333333,15500,,,Rent,14910,2024-09-03
20859,11,2,CRUZ MANCA,Cuajimalpa de Morelos,Ciudad de México,Center,Santa Fe,19.3639099,-99.2673879,40299,426.419686,17184286.93,,,Rent,13686,2024-01-26
23570,11,2,CREDITO CONSTRUCTOR,Benito Juárez,Ciudad de México,Center,Insurgentes,19.36390988,-99.18158166,41415,470,19465050,,,Rent,8463,2024-02-21
28604,9,1,GRANJAS SAN ANTONIO,Iztapalapa,Ciudad de México,Center,Iztapalapa,19.3637017,-99.1063025,600,200,120000,,,Rent,9642,2024-07-24
26674,11,1,ALPES,Álvaro Obregón,Ciudad de México,Center,Periférico Sur,19.36365,-99.19149681,1782,,,18237.9349,32500000,Sale,10908,2024-04-10
20770,11,2,SAN JOSE INSURGENTES,Benito Juárez,Ciudad de México,Center,Insurgentes,19.3635385,-99.1825271,7781,436.1110425,3393380.022,,,Rent,8463,2024-01-26
23542,11,2,MERCED GOMEZ,Benito Juárez,Ciudad de México,Center,,19.36348651,-99.19044403,15516,426.419686,6616327.848,,,Rent,8463,2024-02-21
23269,11,2,EL YAQUI,Cuajimalpa de Morelos,Ciudad de México,Center,,19.36301,-99.282975,1800,250,450000,,,Rent,8463,2024-02-21
23219,11,2,SAN JOSE INSURGENTES,Benito Juárez,Ciudad de México,Center,Insurgentes,19.36296499,-99.1834697,5000,258,1290000,,,Rent,8463,2024-02-21
23554,11,2,SAN JOSE INSURGENTES,Benito Juárez,Ciudad de México,Center,Insurgentes,19.36273874,-99.18706722,9800,455.4937555,4463838.804,,,Rent,8463,2024-02-21
23297,11,2,GENERAL ANAYA,Benito Juárez,Ciudad de México,Center,Insurgentes,19.362738,-99.158514,3318,320,1061760,,,Rent,8463,2024-02-21
23572,11,2,SAN JOSE INSURGENTES,Benito Juárez,Ciudad de México,Center,Insurgentes,19.36260213,-99.18333326,22815,429,9787635,,,Rent,8463,2024-02-21
23082,11,2,SAN JOSE INSURGENTES,Benito Juárez,Ciudad de México,Center,Insurgentes,19.3624732,-99.1838384,17732,330,5851560,,,Rent,8463,2024-02-21
29338,11,1,CRUZ MANCA,Gustavo A. Madero,Ciudad de México,Center,Santa Fe,19.3622296,-99.2661372,1023,425,434775,,,Rent,13934,2024-08-29
23583,11,2,ACACIAS,Benito Juárez,Ciudad de México,Center,Insurgentes,19.36178849,-99.17391467,8400,412,3460800,,,Rent,8463,2024-02-21
25596,13,1,CUAJIMALPA,Cuajimalpa de Morelos,Ciudad de México,Center,,19.361768,-99.2883256,150,320,48000,,,Rent,931,2024-02-29
